Epoch: [10][0/97], lr: 0.01000	Time 0.155 (0.155)	Data 0.100 (0.100)	Loss 2.7460 (2.7460)	Prec@1 81.250 (81.250)	Prec@5 99.219 (99.219)
Epoch: [10][10/97], lr: 0.01000	Time 0.141 (0.141)	Data 0.000 (0.017)	Loss 2.8091 (3.1711)	Prec@1 80.469 (78.906)	Prec@5 97.656 (98.224)
Epoch: [10][20/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.013)	Loss 3.1298 (3.0881)	Prec@1 80.469 (79.911)	Prec@5 98.438 (98.363)
Epoch: [10][30/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.012)	Loss 2.5736 (3.0546)	Prec@1 85.938 (80.318)	Prec@5 98.438 (98.059)
Epoch: [10][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 4.0806 (3.1144)	Prec@1 73.438 (79.935)	Prec@5 97.656 (98.075)
Epoch: [10][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.6099 (3.1340)	Prec@1 75.000 (79.764)	Prec@5 97.656 (98.070)
Epoch: [10][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.8974 (3.1364)	Prec@1 75.000 (79.739)	Prec@5 96.875 (98.053)
Epoch: [10][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.0089 (3.1572)	Prec@1 81.250 (79.710)	Prec@5 98.438 (98.085)
Epoch: [10][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.3025 (3.1801)	Prec@1 77.344 (79.552)	Prec@5 98.438 (98.023)
Epoch: [10][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5068 (3.1811)	Prec@1 78.125 (79.524)	Prec@5 99.219 (98.008)
Epoch: [11][0/97], lr: 0.01000	Time 0.152 (0.152)	Data 0.097 (0.097)	Loss 3.3284 (3.3284)	Prec@1 79.688 (79.688)	Prec@5 98.438 (98.438)
Epoch: [11][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 3.3465 (3.3330)	Prec@1 79.688 (78.693)	Prec@5 96.875 (98.011)
Epoch: [11][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 3.4029 (3.1913)	Prec@1 75.781 (79.278)	Prec@5 99.219 (97.954)
Epoch: [11][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.012)	Loss 2.7675 (3.1162)	Prec@1 84.375 (80.091)	Prec@5 96.875 (98.009)
Epoch: [11][40/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 2.3561 (3.0758)	Prec@1 83.594 (80.564)	Prec@5 97.656 (97.885)
Epoch: [11][50/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.010)	Loss 3.4852 (3.1123)	Prec@1 77.344 (80.300)	Prec@5 96.875 (97.978)
Epoch: [11][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 2.8196 (3.1124)	Prec@1 83.594 (80.136)	Prec@5 97.656 (98.053)
Epoch: [11][70/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.0896 (3.1256)	Prec@1 77.344 (79.974)	Prec@5 100.000 (98.030)
Epoch: [11][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 4.1433 (3.1344)	Prec@1 72.656 (79.938)	Prec@5 96.875 (98.013)
Epoch: [11][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.8357 (3.1425)	Prec@1 74.219 (79.885)	Prec@5 98.438 (98.008)
Epoch: [12][0/97], lr: 0.01000	Time 0.154 (0.154)	Data 0.099 (0.099)	Loss 3.1347 (3.1347)	Prec@1 76.562 (76.562)	Prec@5 96.875 (96.875)
Epoch: [12][10/97], lr: 0.01000	Time 0.142 (0.141)	Data 0.000 (0.017)	Loss 2.5826 (3.0212)	Prec@1 82.812 (80.611)	Prec@5 97.656 (97.727)
Epoch: [12][20/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.013)	Loss 2.7539 (2.7300)	Prec@1 83.594 (82.329)	Prec@5 99.219 (98.363)
Epoch: [12][30/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.012)	Loss 2.8885 (2.8994)	Prec@1 82.812 (81.628)	Prec@5 97.656 (98.059)
Epoch: [12][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.3372 (2.8818)	Prec@1 77.344 (81.669)	Prec@5 96.094 (98.095)
Epoch: [12][50/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.2325 (2.9251)	Prec@1 76.562 (81.388)	Prec@5 98.438 (98.177)
Epoch: [12][60/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 3.3074 (2.9305)	Prec@1 78.125 (81.083)	Prec@5 97.656 (98.207)
